Frame,Class,BEV_X,BEV_Y
2,Driving,412,30
2,Driving,684,1094
2,Driving,534,1210
2,Driving,964,149
2,Driving,928,506
2,Driving,897,229
2,Driving,1059,788
2,Driving,586,998
2,Driving,411,1319
2,Driving,188,0
2,Driving,764,157
2,Walking,-47,784
2,Walking,623,1140
2,Walking,796,235
2,Walking,-59,837
2,Walking,580,791
2,Walking,638,1021
2,Walking,564,804
2,Walking,-1,437
2,Walking,596,674
2,Walking,981,623
2,Walking,31,442
2,Walking,611,667
2,Walking,659,371
2,Walking,619,283
2,Walking,-6,690
2,Walking,505,515
2,Walking,610,895
2,Walking,219,464
2,Walking,566,1242
2,Walking,-20,612
2,Walking,601,81
2,Walking,945,-45
2,Walking,541,567
2,Walking,10,679
2,Walking,520,385
2,Walking,485,392
2,Walking,881,113
2,Walking,510,313
2,Walking,17,893
2,Walking,503,396
2,Walking,666,1174
2,Walking,-9,722
2,Walking,958,485
2,Walking,-46,679
2,Walking,603,672
2,Walking,571,93
2,Walking,899,121
2,Walking,4,133
2,Walking,912,-20
2,Walking,643,190
2,Walking,521,573
2,Walking,889,-1
2,Walking,528,-25
2,Walking,833,1096
2,Walking,660,1191
3,Driving,591,746
3,Driving,597,687
3,Driving,1032,924
3,Driving,909,836
3,Driving,535,934
3,Driving,886,459
3,Driving,429,704
3,Driving,597,424
3,Driving,166,1017
3,Driving,191,775
3,Driving,500,627
3,Driving,307,1010
3,Driving,418,495
3,Driving,107,360
3,Driving,769,154
3,Driving,416,1324
3,Driving,1119,622
3,Driving,35,1041
3,Driving,707,11
3,Driving,768,1131
3,Driving,459,1081
3,Driving,735,1150
3,Driving,415,45
3,Driving,473,1293
3,Driving,152,-171
3,Driving,555,555
3,Driving,182,-6
3,Driving,415,863
3,Driving,667,207
3,Driving,416,865
3,Driving,483,811
3,Driving,380,931
3,Driving,694,551
3,Driving,566,91
3,Driving,413,39
3,Driving,414,1053
3,Driving,963,149
3,Driving,197,466
3,Driving,928,502
3,Driving,680,1096
3,Driving,592,745
3,Driving,588,997
3,Driving,1060,790
3,Driving,412,1319
3,Driving,187,-6
3,Driving,765,159
3,Walking,623,1141
3,Walking,-47,784
3,Walking,637,1021
3,Walking,564,805
3,Walking,-61,832
3,Walking,795,235
3,Walking,579,791
3,Walking,-2,435
3,Walking,659,373
3,Walking,30,441
3,Walking,595,677
3,Walking,619,282
3,Walking,611,667
3,Walking,-65,841
3,Walking,541,1205
3,Walking,506,518
3,Walking,540,566
3,Walking,8,673
3,Walking,-6,725
3,Walking,882,141
3,Walking,-18,616
3,Walking,566,1242
3,Walking,220,466
3,Walking,502,396
3,Walking,945,-45
3,Walking,520,385
3,Walking,601,81
3,Walking,6,681
3,Walking,981,622
3,Walking,510,315
3,Walking,552,558
3,Walking,-3,693
3,Walking,486,400
3,Walking,5,136
3,Walking,17,893
3,Walking,665,1187
3,Walking,899,121
3,Walking,958,485
3,Walking,909,-29
3,Walking,642,191
3,Walking,568,81
3,Walking,889,8
3,Walking,-50,675
3,Walking,603,672
3,Walking,942,497
3,Walking,530,-16
3,Walking,520,572
3,Walking,833,1096
3,Walking,660,1191
3,Walking,870,40
4,Driving,1034,925
4,Driving,911,838
4,Driving,534,934
4,Driving,886,459
4,Driving,429,704
4,Driving,166,1013
4,Driving,597,426
4,Driving,190,766
4,Driving,500,629
4,Driving,418,495
4,Driving,305,1007
4,Driving,107,352
4,Driving,769,154
4,Driving,416,1324
4,Driving,35,1041
4,Driving,1119,618
4,Driving,707,11
4,Driving,555,556
4,Driving,768,1131
4,Driving,895,229
4,Driving,735,1150
4,Driving,460,1084
4,Driving,153,-181
4,Driving,416,51
4,Driving,963,152
4,Driving,422,1043
4,Driving,695,546
4,Driving,383,934
4,Driving,419,864
4,Driving,667,207
4,Driving,483,807
4,Driving,695,546
4,Driving,416,51
4,Driving,964,151
4,Driving,566,88
4,Driving,895,232
4,Driving,460,1083
4,Driving,928,500
4,Driving,678,1096
4,Driving,197,462
4,Driving,589,996
4,Driving,1061,792
4,Driving,412,1319
4,Driving,187,-14
4,Driving,766,161
4,Walking,623,1142
4,Walking,-47,784
4,Walking,794,236
4,Walking,637,1024
4,Walking,-61,832
4,Walking,565,807
4,Walking,579,792
4,Walking,-1,437
4,Walking,592,749
4,Walking,8,680
4,Walking,30,440
4,Walking,659,375
4,Walking,980,624
4,Walking,-18,618
4,Walking,620,286
4,Walking,565,1242
4,Walking,-7,725
4,Walking,-65,841
4,Walking,610,668
4,Walking,509,533
4,Walking,879,117
4,Walking,220,466
4,Walking,540,568
4,Walking,664,1175
4,Walking,502,397
4,Walking,486,398
4,Walking,601,81
4,Walking,519,386
4,Walking,598,688
4,Walking,945,-45
4,Walking,899,121
4,Walking,0,125
4,Walking,540,1206
4,Walking,959,484
4,Walking,16,894
4,Walking,516,335
4,Walking,642,191
4,Walking,910,-29
4,Walking,943,496
4,Walking,568,77
4,Walking,-51,673
4,Walking,-1,697
4,Walking,889,14
4,Walking,660,1191
4,Walking,518,571
4,Walking,833,1096
4,Walking,528,-18
4,Walking,870,45
4,Walking,75,152
5,Driving,598,693
5,Driving,1035,926
5,Driving,913,837
5,Driving,534,935
5,Driving,886,459
5,Driving,429,704
5,Driving,599,430
5,Driving,166,1008
5,Driving,304,1003
5,Driving,501,632
5,Driving,418,497
5,Driving,189,760
5,Driving,107,345
5,Driving,769,154
5,Driving,413,1318
5,Driving,1119,618
5,Driving,35,1041
5,Driving,707,11
5,Driving,462,1089
5,Driving,555,556
5,Driving,768,1131
5,Driving,963,150
5,Driving,424,1042
5,Driving,696,540
5,Driving,735,1150
5,Driving,412,46
5,Driving,894,233
5,Driving,152,-190
5,Driving,180,-17
5,Driving,420,860
5,Driving,667,207
5,Driving,485,803
5,Driving,420,862
5,Driving,383,930
5,Driving,460,1086
5,Driving,696,541
5,Driving,412,46
5,Driving,964,149
5,Driving,565,82
5,Driving,416,1051
5,Driving,895,235
5,Driving,197,457
5,Driving,928,506
5,Driving,676,1097
5,Driving,592,995
5,Driving,1063,793
5,Driving,413,1319
5,Driving,190,-16
5,Driving,766,160
5,Driving,93,-107
5,Driving,696,190
5,Walking,623,1144
5,Walking,-47,784
5,Walking,579,793
5,Walking,-61,832
5,Walking,793,236
5,Walking,638,1027
5,Walking,7,680
5,Walking,28,436
5,Walking,567,815
5,Walking,592,750
5,Walking,980,624
5,Walking,536,1208
5,Walking,659,371
5,Walking,-1,437
5,Walking,621,291
5,Walking,-15,620
5,Walking,611,667
5,Walking,0,720
5,Walking,-65,841
5,Walking,564,1243
5,Walking,664,1177
5,Walking,601,81
5,Walking,511,540
5,Walking,879,117
5,Walking,502,397
5,Walking,540,568
5,Walking,487,402
5,Walking,519,386
5,Walking,945,-45
5,Walking,899,121
5,Walking,600,691
5,Walking,942,497
5,Walking,220,466
5,Walking,514,331
5,Walking,959,486
5,Walking,2,131
5,Walking,909,-29
5,Walking,16,894
5,Walking,641,191
5,Walking,568,74
5,Walking,604,672
5,Walking,75,153
5,Walking,660,1191
5,Walking,833,1096
5,Walking,889,11
5,Walking,-1,693
5,Walking,527,-21
5,Walking,538,-49
5,Walking,-50,672
6,Driving,598,694
6,Driving,1036,928
6,Driving,915,839
6,Driving,533,936
6,Driving,429,706
6,Driving,886,459
6,Driving,599,431
6,Driving,502,634
6,Driving,165,1003
6,Driving,189,752
6,Driving,418,497
6,Driving,302,999
6,Driving,108,339
6,Driving,769,154
6,Driving,413,1319
6,Driving,1119,618
6,Driving,38,1040
6,Driving,707,11
6,Driving,556,558
6,Driving,461,1091
6,Driving,769,1131
6,Driving,735,1149
6,Driving,154,-196
6,Driving,188,-27
6,Driving,384,928
6,Driving,414,55
6,Driving,667,207
6,Driving,895,239
6,Driving,424,862
6,Driving,487,804
6,Driving,964,151
6,Driving,696,536
6,Driving,565,79
6,Driving,928,503
6,Driving,891,174
6,Driving,196,452
6,Driving,593,994
6,Driving,1065,793
6,Driving,414,1319
6,Driving,188,-27
6,Driving,766,160
6,Driving,94,-108
6,Driving,696,190
6,Walking,622,1144
6,Walking,638,1029
6,Walking,-47,784
6,Walking,792,237
6,Walking,-62,831
6,Walking,579,792
6,Walking,6,681
6,Walking,28,436
6,Walking,593,754
6,Walking,0,439
6,Walking,565,1242
6,Walking,568,821
6,Walking,607,670
6,Walking,659,369
6,Walking,620,293
6,Walking,660,1169
6,Walking,-65,841
6,Walking,-13,624
6,Walking,602,84
6,Walking,978,625
6,Walking,506,520
6,Walking,536,1208
6,Walking,540,568
6,Walking,488,408
6,Walking,502,399
6,Walking,519,386
6,Walking,879,114
6,Walking,945,-42
6,Walking,942,497
6,Walking,514,331
6,Walking,909,-29
6,Walking,1,721
6,Walking,600,694
6,Walking,407,1045
6,Walking,959,486
6,Walking,641,192
6,Walking,5,136
6,Walking,221,465
6,Walking,16,894
6,Walking,566,57
6,Walking,889,11
6,Walking,535,-13
6,Walking,-49,672
6,Walking,540,-37
6,Walking,660,1191
6,Walking,524,-22
7,Driving,1036,929
7,Driving,917,839
7,Driving,886,459
7,Driving,533,937
7,Driving,600,434
7,Driving,430,707
7,Driving,188,744
7,Driving,166,999
7,Driving,502,638
7,Driving,418,497
7,Driving,301,995
7,Driving,769,154
7,Driving,107,330
7,Driving,417,1323
7,Driving,1119,618
7,Driving,35,1041
7,Driving,717,7
7,Driving,555,556
7,Driving,462,1093
7,Driving,769,1131
7,Driving,735,1150
7,Driving,423,857
7,Driving,697,530
7,Driving,187,-35
7,Driving,385,926
7,Driving,413,56
7,Driving,697,530
7,Driving,667,207
7,Driving,425,858
7,Driving,964,151
7,Driving,896,236
7,Driving,418,1050
7,Driving,490,801
7,Driving,928,502
7,Driving,891,174
7,Driving,566,73
7,Driving,595,993
7,Driving,413,1318
7,Driving,1066,794
7,Driving,189,-32
7,Driving,766,158
7,Driving,696,190
7,Driving,96,-109
7,Walking,-48,784
7,Walking,621,1145
7,Walking,579,794
7,Walking,637,1028
7,Walking,-59,837
7,Walking,792,235
7,Walking,594,756
7,Walking,7,683
7,Walking,610,668
7,Walking,569,822
7,Walking,660,376
7,Walking,29,438
7,Walking,-1,440
7,Walking,536,1208
7,Walking,621,295
7,Walking,563,1244
7,Walking,879,115
7,Walking,601,84
7,Walking,-13,624
7,Walking,6,139
7,Walking,519,388
7,Walking,501,399
7,Walking,540,570
7,Walking,505,520
7,Walking,2,723
7,Walking,489,410
7,Walking,945,-42
7,Walking,943,498
7,Walking,659,1170
7,Walking,510,322
7,Walking,600,695
7,Walking,974,626
7,Walking,177,429
7,Walking,641,194
7,Walking,909,-29
7,Walking,14,895
7,Walking,961,484
7,Walking,567,60
7,Walking,213,471
7,Walking,889,8
7,Walking,660,1191
7,Walking,74,153
7,Walking,542,-28
7,Walking,535,-10
7,Walking,524,-19
7,Walking,525,593
7,Walking,0,698
7,Walking,870,48
8,Driving,919,839
8,Driving,533,937
8,Driving,1039,929
8,Driving,886,459
8,Driving,430,707
8,Driving,190,740
8,Driving,601,435
8,Driving,418,1323
8,Driving,298,991
8,Driving,418,499
8,Driving,503,638
8,Driving,166,994
8,Driving,769,156
8,Driving,108,324
8,Driving,1119,619
8,Driving,38,1040
8,Driving,716,7
8,Driving,555,556
8,Driving,463,1096
8,Driving,768,1131
8,Driving,735,1150
8,Driving,187,-43
8,Driving,156,-212
8,Driving,424,854
8,Driving,697,525
8,Driving,974,977
8,Driving,426,857
8,Driving,414,66
8,Driving,668,209
8,Driving,387,926
8,Driving,697,525
8,Driving,964,151
8,Driving,492,799
8,Driving,896,238
8,Driving,566,73
8,Driving,418,1046
8,Driving,928,500
8,Driving,597,992
8,Driving,413,1318
8,Driving,1067,798
8,Driving,189,-36
8,Driving,766,160
8,Driving,696,190
8,Driving,92,-120
8,Walking,620,1145
8,Walking,561,1245
8,Walking,-48,784
8,Walking,580,798
8,Walking,-59,837
8,Walking,791,236
8,Walking,570,825
8,Walking,594,757
8,Walking,637,1028
8,Walking,28,436
8,Walking,660,377
8,Walking,10,688
8,Walking,-2,440
8,Walking,600,698
8,Walking,878,120
8,Walking,610,668
8,Walking,621,297
8,Walking,-12,625
8,Walking,519,390
8,Walking,541,574
8,Walking,13,896
8,Walking,488,412
8,Walking,516,342
8,Walking,502,401
8,Walking,600,79
8,Walking,506,522
8,Walking,553,563
8,Walking,6,139
8,Walking,1,723
8,Walking,973,626
8,Walking,945,-42
8,Walking,640,192
8,Walking,909,-26
8,Walking,898,124
8,Walking,943,498
8,Walking,961,486
8,Walking,661,1178
8,Walking,532,1207
8,Walking,567,66
8,Walking,889,19
8,Walking,178,426
8,Walking,660,1191
8,Walking,542,-31
8,Walking,524,-19
8,Walking,525,593
8,Walking,214,470
8,Walking,74,153
9,Driving,921,840
9,Driving,532,938
9,Driving,414,1318
9,Driving,886,459
9,Driving,430,707
9,Driving,602,437
9,Driving,1041,929
9,Driving,504,641
9,Driving,418,499
9,Driving,166,989
9,Driving,297,987
9,Driving,189,731
9,Driving,109,317
9,Driving,769,156
9,Driving,1119,620
9,Driving,38,1040
9,Driving,716,8
9,Driving,769,1131
9,Driving,554,552
9,Driving,735,1150
9,Driving,416,77
9,Driving,427,852
9,Driving,698,520
9,Driving,537,1209
9,Driving,974,977
9,Driving,672,1098
9,Driving,697,520
9,Driving,428,855
9,Driving,389,924
9,Driving,668,209
9,Driving,415,71
9,Driving,567,75
9,Driving,964,151
9,Driving,420,1047
9,Driving,494,801
9,Driving,895,239
9,Driving,599,990
9,Driving,414,1318
9,Driving,1068,797
9,Driving,190,-41
9,Driving,766,158
9,Driving,93,-116
9,Driving,696,190
9,Walking,561,1245
9,Walking,619,1146
9,Walking,-48,784
9,Walking,594,759
9,Walking,636,1028
9,Walking,-59,837
9,Walking,582,805
9,Walking,571,828
9,Walking,610,669
9,Walking,29,438
9,Walking,789,225
9,Walking,660,377
9,Walking,464,1101
9,Walking,878,120
9,Walking,-2,440
9,Walking,600,700
9,Walking,971,629
9,Walking,621,298
9,Walking,518,390
9,Walking,657,1172
9,Walking,9,688
9,Walking,541,578
9,Walking,501,402
9,Walking,600,79
9,Walking,488,412
9,Walking,510,322
9,Walking,-13,624
9,Walking,507,529
9,Walking,5,140
9,Walking,552,563
9,Walking,945,-42
9,Walking,943,498
9,Walking,898,124
9,Walking,639,195
9,Walking,1,723
9,Walking,959,487
9,Walking,909,-26
9,Walking,17,901
9,Walking,890,18
9,Walking,567,60
9,Walking,210,470
9,Walking,524,-15
9,Walking,542,-25
9,Walking,660,1191
9,Walking,76,156
9,Walking,561,-55
10,Driving,924,841
10,Driving,533,940
10,Driving,886,459
10,Driving,430,707
10,Driving,415,1318
10,Driving,606,438
10,Driving,1043,931
10,Driving,504,643
10,Driving,418,499
10,Driving,187,722
10,Driving,166,984
10,Driving,296,983
10,Driving,769,156
10,Driving,109,311
10,Driving,1119,620
10,Driving,38,1040
10,Driving,769,1131
10,Driving,555,555
10,Driving,716,7
10,Driving,535,1210
10,Driving,735,1150
10,Driving,188,-52
10,Driving,698,514
10,Driving,429,850
10,Driving,417,80
10,Driving,497,795
10,Driving,431,853
10,Driving,391,924
10,Driving,668,209
10,Driving,698,513
10,Driving,421,1048
10,Driving,964,153
10,Driving,567,75
10,Driving,415,78
10,Driving,896,240
10,Driving,944,493
10,Driving,601,989
10,Driving,414,1318
10,Driving,191,-46
10,Driving,1070,799
10,Driving,766,158
10,Driving,697,189
10,Walking,617,1147
10,Walking,636,1029
10,Walking,-48,784
10,Walking,583,808
10,Walking,571,831
10,Walking,611,676
10,Walking,594,760
10,Walking,600,701
10,Walking,-59,837
10,Walking,789,224
10,Walking,878,120
10,Walking,660,373
10,Walking,29,438
10,Walking,-2,441
10,Walking,621,300
10,Walking,466,1105
10,Walking,11,691
10,Walking,510,326
10,Walking,519,390
10,Walking,971,629
10,Walking,501,402
10,Walking,542,581
10,Walking,-11,628
10,Walking,657,1175
10,Walking,600,79
10,Walking,552,564
10,Walking,488,415
10,Walking,945,-42
10,Walking,507,532
10,Walking,898,123
10,Walking,5,140
10,Walking,560,1246
10,Walking,-7,703
10,Walking,909,-26
10,Walking,-8,730
10,Walking,639,195
10,Walking,567,57
10,Walking,890,15
10,Walking,16,900
10,Walking,176,411
10,Walking,671,1099
10,Walking,216,469
10,Walking,524,-15
10,Walking,542,-25
10,Walking,-25,194
10,Walking,534,-5
10,Walking,660,1191
10,Walking,75,153
10,Walking,561,-55
11,Driving,926,841
11,Driving,532,940
11,Driving,1045,929
11,Driving,886,461
11,Driving,430,707
11,Driving,604,443
11,Driving,165,979
11,Driving,505,646
11,Driving,187,716
11,Driving,418,501
11,Driving,294,980
11,Driving,108,302
11,Driving,418,1321
11,Driving,769,156
11,Driving,1072,793
11,Driving,33,1039
11,Driving,556,559
11,Driving,769,1131
11,Driving,1072,797
11,Driving,712,10
11,Driving,582,281
11,Driving,735,1150
11,Driving,188,-56
11,Driving,416,87
11,Driving,669,1100
11,Driving,498,794
11,Driving,431,854
11,Driving,393,924
11,Driving,668,209
11,Driving,422,1045
11,Driving,698,511
11,Driving,464,1107
11,Driving,964,153
11,Driving,894,244
11,Driving,415,84
11,Driving,944,490
11,Driving,603,988
11,Driving,414,1317
11,Driving,192,-50
11,Driving,766,158
11,Driving,1072,798
11,Driving,697,192
11,Walking,636,1029
11,Walking,583,810
11,Walking,571,830
11,Walking,-48,784
11,Walking,594,760
11,Walking,621,300
11,Walking,-59,837
11,Walking,877,123
11,Walking,600,700
11,Walking,659,371
11,Walking,612,679
11,Walking,28,436
11,Walking,616,1148
11,Walking,-1,443
11,Walking,969,630
11,Walking,788,221
11,Walking,558,1247
11,Walking,542,582
11,Walking,519,392
11,Walking,502,408
11,Walking,-12,628
11,Walking,489,418
11,Walking,945,-42
11,Walking,11,691
11,Walking,599,76
11,Walking,508,534
11,Walking,512,333
11,Walking,899,123
11,Walking,552,564
11,Walking,6,143
11,Walking,531,1211
11,Walking,909,-24
11,Walking,18,907
11,Walking,661,1190
11,Walking,213,468
11,Walking,890,10
11,Walking,639,195
11,Walking,568,53
11,Walking,868,-23
11,Walking,0,726
11,Walking,524,-15
11,Walking,544,-19
11,Walking,534,0
11,Walking,-24,196
12,Driving,594,757
12,Driving,928,841
12,Driving,532,940
12,Driving,1046,928
12,Driving,606,446
12,Driving,429,707
12,Driving,886,461
12,Driving,186,707
12,Driving,292,975
12,Driving,505,647
12,Driving,165,974
12,Driving,418,502
12,Driving,769,156
12,Driving,108,296
12,Driving,418,1321
12,Driving,33,1039
12,Driving,707,14
12,Driving,1119,621
12,Driving,187,-64
12,Driving,769,1131
12,Driving,582,281
12,Driving,556,560
12,Driving,469,1112
12,Driving,535,1210
12,Driving,735,1149
12,Driving,699,505
12,Driving,974,978
12,Driving,499,795
12,Driving,433,852
12,Driving,394,922
12,Driving,668,209
12,Driving,415,87
12,Driving,465,1110
12,Driving,699,506
12,Driving,944,490
12,Driving,895,247
12,Driving,424,1043
12,Driving,963,154
12,Driving,605,987
12,Driving,415,1317
12,Driving,766,160
12,Driving,1073,798
12,Driving,191,-58
12,Driving,-15,972
12,Driving,697,192
12,Walking,571,830
12,Walking,-48,785
12,Walking,612,684
12,Walking,582,811
12,Walking,600,700
12,Walking,635,1029
12,Walking,659,375
12,Walking,-59,837
12,Walking,968,631
12,Walking,28,436
12,Walking,621,302
12,Walking,877,123
12,Walking,-3,441
12,Walking,541,583
12,Walking,519,394
12,Walking,909,-21
12,Walking,18,909
12,Walking,944,-39
12,Walking,12,692
12,Walking,616,1153
12,Walking,502,410
12,Walking,-11,630
12,Walking,489,419
12,Walking,511,329
12,Walking,599,76
12,Walking,507,532
12,Walking,899,125
12,Walking,552,564
12,Walking,6,143
12,Walking,787,222
12,Walking,557,1247
12,Walking,638,193
12,Walking,667,1102
12,Walking,660,1191
12,Walking,890,13
12,Walking,-8,732
12,Walking,569,49
12,Walking,-5,705
12,Walking,168,387
12,Walking,531,2
12,Walking,216,461
12,Walking,543,-19
12,Walking,868,-21
12,Walking,528,603
13,Driving,19,908
13,Driving,593,759
13,Driving,930,841
13,Driving,532,941
13,Driving,430,709
13,Driving,606,448
13,Driving,886,461
13,Driving,1047,929
13,Driving,291,971
13,Driving,506,649
13,Driving,164,968
13,Driving,417,502
13,Driving,769,156
13,Driving,187,701
13,Driving,109,289
13,Driving,416,1317
13,Driving,33,1039
13,Driving,470,1114
13,Driving,707,14
13,Driving,582,281
13,Driving,534,1211
13,Driving,758,1137
13,Driving,699,499
13,Driving,414,88
13,Driving,187,-72
13,Driving,557,561
13,Driving,1119,619
13,Driving,664,1102
13,Driving,435,851
13,Driving,394,919
13,Driving,500,791
13,Driving,667,209
13,Driving,945,490
13,Driving,699,504
13,Driving,425,1047
13,Driving,415,88
13,Driving,664,1102
13,Driving,963,154
13,Driving,606,986
13,Driving,415,1316
13,Driving,1075,789
13,Driving,766,160
13,Driving,192,-63
13,Driving,696,190
13,Driving,-15,972
13,Walking,599,700
13,Walking,613,686
13,Walking,-48,785
13,Walking,582,814
13,Walking,571,831
13,Walking,635,1031
13,Walking,-62,831
13,Walking,659,377
13,Walking,617,1159
13,Walking,621,302
13,Walking,-4,442
13,Walking,27,434
13,Walking,787,224
13,Walking,968,629
13,Walking,556,1248
13,Walking,873,126
13,Walking,13,694
13,Walking,542,585
13,Walking,909,-20
13,Walking,944,-39
13,Walking,-65,841
13,Walking,-10,632
13,Walking,520,398
13,Walking,600,79
13,Walking,503,414
13,Walking,507,533
13,Walking,514,341
13,Walking,488,419
13,Walking,551,564
13,Walking,899,123
13,Walking,20,19
13,Walking,6,143
13,Walking,659,1191
13,Walking,-10,733
13,Walking,890,29
13,Walking,638,194
13,Walking,-6,703
13,Walking,529,606
13,Walking,214,467
13,Walking,541,-27
13,Walking,569,52
13,Walking,532,5
13,Walking,868,-20
13,Walking,216,461
13,Walking,660,1191
13,Walking,561,-55
14,Driving,21,908
14,Driving,663,381
14,Driving,932,842
14,Driving,531,943
14,Driving,430,709
14,Driving,610,447
14,Driving,886,461
14,Driving,507,651
14,Driving,1049,927
14,Driving,418,503
14,Driving,187,694
14,Driving,164,964
14,Driving,769,158
14,Driving,289,967
14,Driving,110,281
14,Driving,33,1039
14,Driving,554,1248
14,Driving,420,1322
14,Driving,707,14
14,Driving,582,281
14,Driving,1119,621
14,Driving,534,1212
14,Driving,419,95
14,Driving,472,1118
14,Driving,698,495
14,Driving,769,1131
14,Driving,895,247
14,Driving,185,-75
14,Driving,502,788
14,Driving,667,209
14,Driving,416,97
14,Driving,593,760
14,Driving,395,919
14,Driving,436,848
14,Driving,699,495
14,Driving,944,498
14,Driving,426,1045
14,Driving,469,1120
14,Driving,569,71
14,Driving,653,1108
14,Driving,963,154
14,Driving,90,-128
14,Driving,608,985
14,Driving,417,1318
14,Driving,766,163
14,Driving,192,-72
14,Driving,1077,786
14,Driving,697,192
14,Walking,786,225
14,Walking,584,816
14,Walking,570,833
14,Walking,-49,785
14,Walking,600,700
14,Walking,614,689
14,Walking,621,302
14,Walking,-63,831
14,Walking,634,1031
14,Walking,-2,444
